Taxa	Yield	Protein	Heading	Height	TW	NDVI	NDRE1	NWI1	NWI2
Alum	38.54741645	12.90064553	163.3564052	26.77903291	59.0414432	0.507581828	-0.079376643	-0.047640893	-0.000310594
Chet	37.37831204	14.33722055	163.6229058	32.57071341	60.62542136	0.498410439	-0.084670198	-0.04723185	-0.002507283
HR17001-11W	39.38127035	12.13776992	158.9959544	29.57056668	58.54787136	0.455385413	-0.101123587	-0.031935671	0.015729749
HR17001-3W	31.38127035	12.13776992	158.9959544	29.57056668	62.34787136	0.421698507	-0.105082061	-0.023143503	0.031645397
HR17001-4	33.38127035	14.93776992	160.9959544	25.57056668	59.54787136	0.468738331	-0.090860365	-0.035241837	0.017769145
HR17001-5W	39.38127035	12.53776992	158.9959544	25.57056668	57.94787136	0.459785869	-0.097245491	-0.035797479	0.013386941
HR17001-9W	39.38127035	13.73776992	166.9959544	21.57056668	59.94787136	0.484639211	-0.091331845	-0.037853223	0.008894343
HR17002-1W	39.38127035	14.33776992	160.9959544	27.57056668	61.94787136	0.461405709	-0.088427339	-0.032606371	0.023686875
HR17002-3W	35.38127035	13.53776992	160.9959544	23.57056668	56.14787136	0.516367599	-0.076381723	-0.047608055	0.004957437
HR17003-2W	43.38127035	13.13776992	164.9959544	25.57056668	57.94787136	0.577222063	-0.062692729	-0.056081521	-0.001836309
HR17003-7	41.38127035	12.53776992	158.9959544	27.57056668	60.14787136	0.528472053	-0.070122499	-0.043616131	0.014270315
HR17010-1	23.38127035	13.13776992	156.9959544	23.57056668	58.14787136	0.374395333	-0.121329921	-0.015317839	0.032452769
HR17013-3W	23.38127035	13.53776992	164.9959544	21.57056668	57.74787136	0.417693727	-0.124452109	-0.012252119	0.028718969
HR17013-4W	33.38127035	14.53776992	168.9959544	21.57056668	59.94787136	0.503077575	-0.089885075	-0.039071373	0.010138437
HR17013-5W	33.38127035	14.53776992	160.9959544	23.57056668	58.14787136	0.479331295	-0.087138825	-0.035950871	0.016507981
HR17013-6W	35.38127035	15.13776992	160.9959544	31.57056668	53.14787136	0.514389575	-0.077679621	-0.048712399	0.003629853
HR17014-2	31.38127035	14.13776992	164.9959544	23.57056668	58.74787136	0.484734945	-0.092799375	-0.034160171	0.012746189
HR17015-12W	32.33751357	16.54045772	161.3167474	23.71371112	58.30413646	0.495643026	-0.086079575	-0.036849994	0.012839969
HR17015-1W	35.38127035	14.53776992	164.9959544	31.57056668	58.74787136	0.538362673	-0.076660675	-0.055543487	-0.008424839
HR17015-2	27.38127035	12.13776992	162.9959544	25.57056668	56.34787136	0.474761327	-0.111311471	-0.031778917	0.009526579
HR17015-3W	35.38127035	13.33776992	164.9959544	31.57056668	57.74787136	0.453292625	-0.102493281	-0.027985875	0.019429153
HR17015-5W	35.38127035	14.33776992	166.9959544	25.57056668	56.14787136	0.524568579	-0.078393443	-0.050150377	-0.002213761
HR17015-6	35.38127035	13.13776992	158.9959544	29.57056668	60.74787136	0.454054387	-0.105021455	-0.024542975	0.017957761
HR17015-7W	35.38127035	13.33776992	164.9959544	27.57056668	56.14787136	0.466064687	-0.107902027	-0.028997707	0.016931653
HR17015-8W	28.33751357	14.34045772	163.3167474	25.71371112	57.70413646	0.454792746	-0.108269589	-0.021015164	0.022817193
HR17016-1W	28.33751357	15.14045772	165.3167474	27.71371112	57.90413646	0.49819114	-0.089975199	-0.041494026	0.005092495
HR17016-3W	46.33751357	14.34045772	163.3167474	31.71371112	59.10413646	0.557416346	-0.069812049	-0.060949216	-0.009702303
HR17016-4W	38.33751357	13.34045772	159.3167474	29.71371112	60.30413646	0.420504144	-0.114519073	-0.02493668	0.021406951
HR17016-5	28.33751357	16.74045772	159.3167474	27.71371112	57.30413646	0.448859758	-0.101250365	-0.03251603	0.012265599
HR17016-6	32.33751357	14.34045772	165.3167474	29.71371112	53.90413646	0.47676922	-0.091459605	-0.03027824	0.015492479
HR17016-7W	28.33751357	15.54045772	165.3167474	29.71371112	56.30413646	0.530009848	-0.077961297	-0.044543134	0.002655959
HR17016-8W	38.33751357	13.74045772	167.3167474	29.71371112	56.10413646	0.50178903	-0.085588319	-0.03084476	0.017987159
HR17017-1	38.33751357	11.94045772	167.3167474	25.71371112	56.50413646	0.505825366	-0.091322515	-0.035940856	0.005381127
HR17017-2W	44.33751357	11.54045772	163.3167474	23.71371112	62.70413646	0.42716707	-0.110181791	-0.025383982	0.026629713
HR17018-1	26.33751357	11.54045772	165.3167474	23.71371112	60.50413646	0.430042654	-0.113094091	-0.023035256	0.025347943
HR17018-10W	40.33751357	16.34045772	163.3167474	25.71371112	57.30413646	0.568685516	-0.053799705	-0.073002756	-0.016507735
HR17018-11W	38.33751357	13.34045772	169.3167474	27.71371112	57.70413646	0.564277256	-0.060740843	-0.077572816	-0.025557319
HR17018-12W	36.28601954	15.13625912	166.3961162	23.70774401	57.14595651	0.598835151	-0.051391037	-0.075320465	-0.029118636
HR17018-2W	34.33751357	13.74045772	163.3167474	23.71371112	58.90413646	0.415649024	-0.114721257	-0.018323968	0.031652953
HR17018-3W	28.33751357	14.34045772	169.3167474	25.71371112	57.10413646	0.462330178	-0.100890047	-0.03378486	0.017623773
HR17018-4	32.33751357	14.74045772	165.3167474	23.71371112	60.70413646	0.413884702	-0.108414561	-0.026881688	0.031696561
HR17018-5W	18.33751357	17.34045772	169.3167474	25.71371112	56.30413646	0.437553554	-0.114059845	-0.037464236	0.008376833
HR17018-6W	28.33751357	14.74045772	167.3167474	27.71371112	61.10413646	0.421490102	-0.114249409	-0.022494306	0.024440913
HR17018-7W	36.33751357	11.94045772	163.3167474	23.71371112	60.10413646	0.427080824	-0.108537517	-0.032375126	0.023222177
HR17018-8W	32.33751357	12.94045772	165.3167474	27.71371112	58.90413646	0.49657849	-0.084376535	-0.042061432	0.011477711
HR17018-9W	42.33751357	14.74045772	165.3167474	23.71371112	56.30413646	0.558018676	-0.057616909	-0.064514902	-0.008527611
HR17019-10W	30.28601954	13.13625912	164.3961162	31.70774401	56.74595651	0.468489425	-0.094527791	-0.036160209	0.013432954
HR17019-11W	34.28601954	15.13625912	168.3961162	23.70774401	58.34595651	0.516961897	-0.082514827	-0.047540181	0.00390565
HR17019-15W	30.28601954	12.93625912	166.3961162	27.70774401	58.54595651	0.448749837	-0.115845973	-0.030917613	0.010650462
HR17019-16W	34.28601954	11.33625912	164.3961162	31.70774401	55.54595651	0.443001391	-0.120231851	-0.027178945	0.012452264
HR17019-17W	30.28601954	14.73625912	166.3961162	33.70774401	53.94595651	0.471889979	-0.096813953	-0.034998069	0.01255638
HR17019-1W	32.28601954	15.13625912	168.3961162	25.70774401	54.34595651	0.512811153	-0.072068163	-0.050603539	0.003923532
HR17019-4W	26.28601954	14.13625912	166.3961162	25.70774401	54.34595651	0.496517961	-0.093299909	-0.045949111	0.004719416
HR17019-5W	30.28601954	11.33625912	160.3961162	27.70774401	54.34595651	0.426228859	-0.116928417	-0.028148519	0.019143388
HR17019-6W	30.28601954	16.33625912	168.3961162	29.70774401	59.94595651	0.482782627	-0.088590243	-0.038859531	0.01208429
HR17019-7W	32.28601954	12.93625912	166.3961162	27.70774401	55.34595651	0.467230671	-0.101982047	-0.035572751	0.008810624
HR17020-1W	34.28601954	16.13625912	164.3961162	27.70774401	59.54595651	0.483323981	-0.090459721	-0.031278753	0.013761024
HR17020-2W	42.28601954	14.33625912	160.3961162	25.70774401	56.74595651	0.520609989	-0.076533655	-0.050624519	-0.000397074
HR17020-3W	40.28601954	14.13625912	160.3961162	33.70774401	57.74595651	0.489181233	-0.092753269	-0.042370727	0.002519022
HR17020-4	34.28601954	13.13625912	158.3961162	27.70774401	54.54595651	0.471878169	-0.098138421	-0.035979057	0.012317882
HR17021-10	32.59546935	16.68049933	160.6637244	26.46041213	61.98178523	0.471621977	-0.097733276	-0.035668236	0.018615122
HR17021-11W	38.59546935	12.48049933	158.6637244	24.46041213	59.18178523	0.441301477	-0.111191358	-0.026900128	0.021377446
HR17021-13W	36.59546935	13.08049933	158.6637244	28.46041213	59.18178523	0.438521591	-0.106535466	-0.02551824	0.023853312
HR17021-14W	34.59546935	14.08049933	160.6637244	28.46041213	58.18178523	0.483876395	-0.09239288	-0.041823624	0.007358816
HR17021-15	32.59546935	13.68049933	160.6637244	24.46041213	61.58178523	0.465886995	-0.096229936	-0.035149844	0.012632666
HR17021-16W	34.59546935	14.08049933	166.6637244	28.46041213	58.58178523	0.509196701	-0.083868198	-0.046795266	0.004147424
HR17021-17	36.59546935	13.68049933	160.6637244	24.46041213	56.38178523	0.482492353	-0.086975506	-0.040144628	0.01299711
HR17021-1W	38.28601954	14.33625912	164.3961162	29.70774401	55.54595651	0.522625423	-0.070793279	-0.056713721	-0.003478698
HR17021-2	44.28601954	13.93625912	160.3961162	29.70774401	56.54595651	0.509056851	-0.075651273	-0.051748415	0.003753786
HR17021-3	48.28601954	13.53625912	162.3961162	29.70774401	61.54595651	0.502735287	-0.080732831	-0.047556693	0.009743556
HR17021-4	48.28601954	13.33625912	160.3961162	29.70774401	60.74595651	0.501822141	-0.085241901	-0.045658645	0.004142552
HR17021-5W	42.28601954	12.53625912	160.3961162	29.70774401	57.34595651	0.493623821	-0.086819227	-0.040785567	0.010746616
HR17021-6W	32.28601954	11.73625912	164.3961162	29.70774401	60.14595651	0.398955211	-0.126577331	-0.017872353	0.030563452
HR17021-7W	36.28601954	14.93625912	160.3961162	25.70774401	59.94595651	0.478116121	-0.083974665	-0.040129701	0.014785378
HR17021-8W	28.59546935	15.28049933	164.6637244	28.46041213	63.78178523	0.430004177	-0.114390152	-0.02479594	0.024076936
HR17021-9	38.59546935	14.48049933	160.6637244	26.46041213	61.58178523	0.491440947	-0.085677612	-0.046326402	0.00191856
HR17022-1	44.59546935	14.68049933	166.6637244	26.46041213	57.18178523	0.573296609	-0.046144856	-0.066120232	-0.00859298
HR17022-13	32.59546935	14.08049933	168.6637244	34.46041213	56.38178523	0.533409441	-0.077603574	-0.054907048	-0.01482547
HR17022-2	32.59546935	14.68049933	166.6637244	20.46041213	61.18178523	0.438083249	-0.10435539	-0.029838744	0.016632034
HR17022-3W	34.59546935	14.08049933	164.6637244	26.46041213	58.98178523	0.440292335	-0.094052726	-0.03459109	0.019750546
HR17022-7W	42.59546935	13.48049933	166.6637244	30.46041213	58.38178523	0.538521115	-0.070378068	-0.057482844	-0.00359868
HR17022-8	34.59546935	14.68049933	164.6637244	34.46041213	54.38178523	0.528535209	-0.081800094	-0.04800256	0.0008732
HR17022-9	38.59546935	13.08049933	164.6637244	32.46041213	58.78178523	0.449563667	-0.097375294	-0.032175582	0.021794464
HR17023-1	40.59546935	13.68049933	164.6637244	24.46041213	61.38178523	0.483636705	-0.0907511	-0.037338266	0.007162556
HR17023-10W	36.54424956	12.42332608	159.2654964	26.71898462	57.27880433	0.479643109	-0.088493201	-0.036067371	0.011736604
HR17023-11	40.54424956	12.22332608	165.2654964	30.71898462	60.47880433	0.474722377	-0.090774667	-0.036397351	0.012473124
HR17023-12	44.54424956	12.22332608	165.2654964	26.71898462	59.67880433	0.491139251	-0.082082145	-0.043009559	0.008179468
HR17023-13	42.54424956	11.82332608	159.2654964	30.71898462	58.67880433	0.497683183	-0.083821541	-0.037999643	0.018499746
HR17023-2	30.59546935	12.68049933	160.6637244	26.46041213	53.78178523	0.462266951	-0.101476206	-0.023296464	0.028431362
HR17023-3	26.59546935	12.88049933	158.6637244	26.46041213	56.38178523	0.397357745	-0.121217694	-0.010167204	0.044375148
HR17023-6	34.59546935	14.28049933	164.6637244	26.46041213	58.18178523	0.487958701	-0.082527746	-0.039345066	0.010060662
HR17023-7W	34.54424956	13.82332608	161.2654964	18.71898462	57.27880433	0.477879293	-0.084006053	-0.035155067	0.016077766
HR17023-8	30.54424956	12.62332608	161.2654964	26.71898462	59.07880433	0.420444427	-0.113632663	-0.015674553	0.033075334
HR17023-9	36.54424956	13.42332608	163.2654964	24.71898462	59.87880433	0.511659867	-0.083954351	-0.036232347	0.012134114
HR17024-1	34.54424956	15.22332608	161.2654964	24.71898462	60.07880433	0.498845979	-0.082324817	-0.039475787	0.008032884
HR17024-3	26.54424956	15.02332608	163.2654964	28.71898462	58.07880433	0.431316157	-0.110288321	-0.024727047	0.021975596
HR17024-4	28.54424956	14.22332608	159.2654964	24.71898462	61.87880433	0.374850199	-0.125822817	-0.008653375	0.036635808
HR17024-5	30.54424956	15.22332608	159.2654964	26.71898462	59.27880433	0.481741243	-0.086286585	-0.037404389	0.012813834
HR17024-7	34.54424956	13.62332608	159.2654964	28.71898462	60.27880433	0.449273559	-0.100604517	-0.028385745	0.02238586
HR17024-9	36.54424956	13.62332608	161.2654964	24.71898462	60.07880433	0.455450927	-0.092268637	-0.035807689	0.013666926
HR17025-10	40.54424956	13.82332608	159.2654964	32.71898462	62.47880433	0.432798913	-0.109570553	-0.027234753	0.021621052
HR17025-2W	28.54424956	15.82332608	163.2654964	24.71898462	57.27880433	0.497257543	-0.087352813	-0.045176347	0.007722642
HR17025-5W	28.54424956	15.82332608	165.2654964	28.71898462	57.47880433	0.461295705	-0.102750583	-0.036697761	0.014780274
HR17025-8	36.54424956	14.42332608	165.2654964	30.71898462	61.07880433	0.493671735	-0.090451905	-0.040156229	0.007963356
HR17026-1	28.54424956	13.62332608	167.2654964	30.71898462	55.87880433	0.413814735	-0.119718085	-0.019179895	0.032607988
HR17026-10W	34.11251745	15.05737422	162.9965323	26.66762858	58.68388974	0.495162167	-0.085558728	-0.04860991	-0.00066775
HR17026-11	42.11251745	14.45737422	160.9965323	30.66762858	56.88388974	0.538940901	-0.05676467	-0.056943826	0.00163329
HR17026-12W	38.11251745	14.85737422	158.9965323	30.66762858	56.88388974	0.500314171	-0.071370142	-0.043938012	0.013468812
HR17026-13W	36.11251745	14.05737422	162.9965323	30.66762858	59.08388974	0.487196089	-0.083181998	-0.0384375	0.015731024
HR17026-14	38.11251745	13.25737422	160.9965323	28.66762858	57.68388974	0.472441263	-0.086125262	-0.036005418	0.017122092
HR17026-2	44.54424956	13.02332608	165.2654964	28.71898462	60.87880433	0.452671239	-0.096153945	-0.033912903	0.019573158
HR17026-3W	32.54424956	12.82332608	159.2654964	28.71898462	59.67880433	0.466303471	-0.095148865	-0.038571715	0.013372848
HR17026-4	40.54424956	15.22332608	163.2654964	30.71898462	62.47880433	0.476146233	-0.087232303	-0.040661523	0.012004152
HR17026-6	38.54424956	14.42332608	163.2654964	26.71898462	60.47880433	0.445507029	-0.097349663	-0.029055995	0.022762512
HR17026-7	44.54424956	15.42332608	165.2654964	26.71898462	60.47880433	0.489955897	-0.082612163	-0.042431319	0.010516048
HR17026-8W	40.11251745	14.65737422	162.9965323	26.66762858	61.08388974	0.487818551	-0.084433304	-0.038357472	0.015999704
HR17026-9	42.11251745	13.45737422	160.9965323	32.66762858	62.68388974	0.454916191	-0.089478116	-0.03647104	0.02055864
HR17027-1	38.11251745	13.05737422	160.9965323	28.66762858	57.48388974	0.459983189	-0.09136458	-0.03329055	0.015149928
HR17027-2	36.11251745	13.85737422	158.9965323	26.66762858	60.88388974	0.419995171	-0.11471423	-0.020234914	0.03006554
HR17027-3	42.11251745	13.25737422	162.9965323	28.66762858	61.68388974	0.442787297	-0.106666298	-0.029503482	0.019874966
HR17027-4	36.11251745	14.65737422	164.9965323	28.66762858	59.28388974	0.470320617	-0.099146844	-0.03702612	0.004350318
HR17027-5	34.11251745	15.05737422	160.9965323	30.66762858	59.68388974	0.487776033	-0.086583056	-0.043595552	0.000468682
HR17028-1	26.11251745	13.25737422	160.9965323	28.66762858	60.68388974	0.357430653	-0.139329766	-0.005945802	0.039784982
HR17028-2	44.11251745	12.25737422	164.9965323	28.66762858	58.28388974	0.467399251	-0.10157466	-0.036025866	0.004165186
HR17028-3	28.11251745	14.05737422	164.9965323	24.66762858	58.88388974	0.424155529	-0.118874292	-0.019719056	0.0277793
HR17028-4	18.11251745	14.45737422	166.9965323	20.66762858	58.68388974	0.389606209	-0.125329608	-0.01226547	0.022784838
HR17028-6	32.11251745	13.85737422	164.9965323	24.66762858	53.68388974	0.455047661	-0.084041114	-0.038098474	0.011936942
HR17028-7	50.11251745	14.85737422	166.9965323	26.66762858	59.28388974	0.549286631	-0.062939876	-0.063887054	-0.017182284
HR17029-2	32.11251745	13.65737422	162.9965323	26.66762858	55.88388974	0.491457311	-0.078281618	-0.042148576	0.010557952
HR17029-3	32.11251745	12.85737422	162.9965323	30.66762858	60.48388974	0.450406081	-0.100718404	-0.040102278	0.003756048
HR17029-4	34.11251745	11.85737422	158.9965323	26.66762858	54.28388974	0.435142789	-0.10139525	-0.035580408	0.016445974
HR17029-5	32.11251745	13.45737422	162.9965323	28.66762858	53.68388974	0.478433153	-0.092207884	-0.04929467	-0.000190524
HR17029-6	34.11251745	12.85737422	164.9965323	24.66762858	59.68388974	0.457126623	-0.09511745	-0.04843399	-0.008798014
HR17030-1	38.11251745	12.85737422	164.9965323	22.66762858	60.68388974	0.533352739	-0.063410838	-0.05741837	-0.000269714
HR17030-2	38.11251745	13.45737422	164.9965323	28.66762858	63.48388974	0.450194617	-0.09709474	-0.046282754	0.004469906
HR17030-3	22.69311468	13.44382708	166.8483427	22.28031265	59.32411294	0.454786394	-0.095747652	-0.032835971	0.023804746
HR17030-5	32.69311468	11.64382708	164.8483427	24.28031265	60.92411294	0.448143162	-0.092484638	-0.033450919	0.020254446
HR17032-1	18.69311468	12.84382708	154.8483427	24.28031265	50.52411294	0.401595608	-0.11798866	-0.022386985	0.026125506
HR17032-2	6.693114678	10.44382708	158.8483427	24.28031265	50.52411294	0.341479088	-0.13773699	-0.007991199	0.0345578
HR17033-1	30.69311468	14.24382708	158.8483427	34.28031265	62.12411294	0.44758787	-0.09874225	-0.038303523	0.009794872
HR17033-2	22.69311468	13.04382708	160.8483427	32.28031265	57.52411294	0.469154654	-0.096912842	-0.042062951	0.008443842
HR17033-3	30.69311468	13.84382708	158.8483427	34.28031265	58.72411294	0.48058514	-0.090437376	-0.037790973	0.01366722
HR17033-4	28.69311468	13.04382708	158.8483427	30.28031265	57.32411294	0.523069446	-0.072880438	-0.047134231	0.000851536
HR17033-7	34.69311468	12.84382708	158.8483427	28.28031265	58.72411294	0.461727268	-0.093699976	-0.032710761	0.014035184
